BOAT,DATETIME,TIME_LOCAL_unk,LATITUDE_GPS_unk,LONGITUDE_GPS_unk,BOAT_SPEED_km_h_1,GPS_SOG_km_h_1,HEADING_deg,TWA_SGP_deg,TWS_SGP_km_h_1,TWD_SGP_deg,AWA_SGP_deg,RATE_YAW_deg_s_1,GPS_COG_deg,LEEWAY_deg,VMG_km_h_1,ANGLE_CA1_deg,ANGLE_CA2_deg,ANGLE_CA3_deg,ANGLE_CA4_deg,ANGLE_CA5_deg,ANGLE_CA6_deg,ANGLE_WING_TWIST_deg,ANGLE_WING_ROT_deg,PITCH_deg,HEEL_deg,LENGTH_RH_P_mm,LENGTH_RH_S_mm,LENGTH_RH_BOW_mm,ANGLE_RUDDER_deg,ANGLE_RUD_AVG_deg,ANGLE_RUD_DIFF_TACK_deg,ANGLE_DB_RAKE_P_deg,ANGLE_DB_RAKE_S_deg,ANGLE_DB_CANT_P_deg,ANGLE_DB_CANT_S_deg,TRK_LEG_NUM_TOT_unk,TRK_LEG_NUM_unk,TRK_RACE_NUM_unk,PC_TTS_s,PC_TTK_s,PC_TTB_s,PC_DTB_m,PC_DTL_m,PC_TTM_s,BearingToMark,RelativeAngle,VMC,BearingToTarget
AUS,2025-01-19 03:08:01,2025-01-19 16:08:01,-36.8330907,174.7684749,79.78,76.61,344.23,91.57,41.87,66.13,33.1,1.1,339.67,5.53,-5.52,-22.87,-19.77,0.0,-16.52,-12.92,-10.43,12.56,32.93,0.93,-0.73,1824.03,1875.64,1984.99,-0.14,1.86,0.77,-1.16,4.99,-0.14,-0.73,7.0,1.0,25011905.0,-0.52,0.0,28.97,235.02,2.71,28.8,0.0019581869011631,21.445998604590102,74.25623886181005,322.7840013954099
AUS,2025-01-19 03:08:02,2025-01-19 16:08:02,-36.8329074,174.7683945,78.79,78.79,343.47,86.27,41.68,66.49,28.43,4.15,346.28,1.35,-2.8,-22.95,-21.67,0.0,-20.22,-17.87,-18.73,4.23,33.2,-3.22,-0.33,1443.97,1426.18,1525.22,-2.03,1.87,0.99,1.29,4.99,-0.08,-0.73,7.0,1.0,25011905.0,-1.52,0.0,27.91,237.0,2.71,27.3,0.0020809887977293,21.52795304303885,73.29350333910396,321.9420469569612
AUS,2025-01-19 03:08:03,2025-01-19 16:08:03,-36.8327183,174.7683426,76.44,74.03,348.51,81.27,41.5,66.71,25.22,0.1,350.9,-1.96,14.93,-22.87,-22.42,0.0,-21.85,-19.83,-21.86,1.06,32.54,-1.87,-0.58,973.05,833.07,891.74,2.74,1.88,1.14,2.13,4.99,-0.14,-0.74,7.0,1.0,25011905.0,-2.52,0.0,25.28,237.03,2.71,24.8,0.0021602604687132,27.805378108741763,67.61402307934931,320.7046218912582
AUS,2025-01-19 03:08:04,2025-01-19 16:08:04,-36.8325353,174.7683036,73.48,71.34,344.33,76.28,41.32,66.36,24.95,-4.01,346.52,-1.47,21.97,-22.74,-22.42,0.0,-21.84,-19.94,-22.07,0.68,31.29,-3.09,2.67,749.01,669.45,614.3,2.67,1.89,1.31,3.25,4.99,-0.16,-0.68,7.0,1.0,25011905.0,-3.52,0.0,26.11,237.09,2.71,26.2,0.0022198289300376,25.03732886144894,66.57525002636767,319.29267113855104
AUS,2025-01-19 03:08:05,2025-01-19 16:08:05,-36.8323622,174.7682479,71.37,70.52,337.65,83.59,40.86,65.8,27.14,-8.13,337.7,-0.71,18.85,-22.66,-21.92,0.0,-21.42,-20.52,-19.99,2.59,30.49,-1.8,1.33,799.82,740.25,685.12,3.62,1.9,1.52,2.96,5.0,-0.17,-0.62,7.0,1.0,25011905.0,-4.52,0.0,27.2,237.3,2.71,27.2,0.00230490514042,19.62915743537809,67.22244819587594,318.0208425646219
AUS,2025-01-19 03:08:06,2025-01-19 16:08:06,-36.832198,174.7681646,72.98,73.04,332.31,88.89,40.5,65.43,28.58,-3.39,332.19,0.66,-3.62,-22.59,-19.62,0.0,-16.26,-13.16,-9.26,13.21,29.2,-1.81,-0.7,974.8,1033.7,953.61,1.82,1.86,1.32,2.31,4.99,-0.13,-0.62,7.0,1.0,25011905.0,-5.52,0.0,27.92,240.38,2.71,27.9,0.0024321381075651,15.305439555168903,70.39157181469437,317.0045604448311
AUS,2025-01-19 03:08:07,2025-01-19 16:08:07,-36.8320352,174.7680594,75.78,74.97,331.1,91.74,40.32,65.24,29.36,-1.03,331.22,0.86,-11.73,-22.53,-16.72,0.0,-10.18,-3.66,4.35,26.82,29.59,-1.47,-2.81,1289.34,1380.18,1415.77,1.2,1.87,1.13,1.67,4.99,-0.1,-0.62,7.0,1.0,25011905.0,-6.42,0.0,27.31,244.91,2.71,27.0,0.0025928221377853,14.974645676031798,73.20653115982657,316.1253543239682
AUS,2025-01-19 03:08:08,2025-01-19 16:08:08,-36.8318712,174.7679434,78.02,78.24,327.53,90.04,40.18,64.8,28.01,-3.69,326.46,1.41,-8.9,-22.54,-16.37,0.0,-9.65,-2.16,4.84,27.42,27.85,-1.83,-1.74,1469.27,1552.83,1534.48,0.56,1.86,1.0,1.17,4.99,-0.09,-0.62,7.0,1.0,25011905.0,-7.42,0.0,26.36,251.47,2.71,26.5,0.002770003358762,12.285707406128381,76.23323940888933,315.2442925938716
AUS,2025-01-19 03:08:09,2025-01-19 16:08:09,-36.8317067,174.7678126,80.4,79.55,327.37,87.92,40.14,64.07,26.71,1.43,328.73,0.53,4.53,-22.58,-17.99,0.0,-12.83,-7.63,-2.83,19.84,25.68,-2.87,-0.29,1258.05,1228.95,1204.52,0.56,1.87,0.84,1.3,4.99,-0.08,-0.62,7.0,1.0,25011905.0,-8.42,0.0,25.2,259.61,2.71,24.5,0.0029697918583337,12.959836382424328,78.3520120632786,314.4101636175757
AUS,2025-01-19 03:08:10,2025-01-19 16:08:10,-36.8315368,174.7676844,80.65,79.1,327.67,87.99,40.02,63.45,26.01,-1.54,328.41,-0.3,6.2,-22.6,-18.73,0.0,-14.4,-9.72,-4.52,18.02,25.66,-2.54,-1.8,999.3,934.63,927.45,1.81,1.88,0.83,1.53,4.99,-0.12,-0.62,7.0,1.0,25011905.0,-9.42,0.0,23.23,266.38,2.71,22.9,0.0031656104654871,14.328474248249051,78.1412092236547,313.34152575175096
AUS,2025-01-19 03:08:11,2025-01-19 16:08:11,-36.8313685,174.7675548,80.25,78.69,325.13,87.77,39.29,62.71,25.49,-2.4,326.16,-0.5,1.6,-22.59,-18.48,0.0,-13.94,-9.18,-4.79,17.88,25.12,-2.73,-0.86,894.48,896.09,838.71,1.74,1.86,0.88,2.13,4.99,-0.13,-0.62,7.0,1.0,25011905.0,-10.42,0.0,23.22,274.16,2.71,23.3,0.0033635689450193,12.977788640581082,78.20019001096931,312.1522113594189
AUS,2025-01-19 03:08:12,2025-01-19 16:08:12,-36.8312061,174.7674158,80.0,78.27,321.84,89.33,36.38,61.88,24.73,-3.43,321.75,0.29,5.42,-22.42,-18.91,0.0,-15.61,-12.05,-7.85,14.55,24.02,-2.72,-0.38,727.52,651.42,590.54,1.21,1.87,0.89,2.59,4.99,-0.13,-0.62,7.0,1.0,25011905.0,-11.52,0.0,23.42,281.63,2.71,23.7,0.0035758871417783,10.839168653845206,78.57271385792724,311.00083134615477
AUS,2025-01-19 03:08:13,2025-01-19 16:08:13,-36.8310517,174.7672667,79.1,77.75,321.26,91.79,34.46,61.19,24.47,0.69,321.2,1.22,-7.6,-18.64,-15.13,0.0,-11.96,-8.6,-5.23,13.42,21.8,-1.61,0.03,819.44,758.13,783.42,0.45,1.88,1.01,1.8,4.99,-0.12,-0.62,7.0,1.0,25011905.0,-12.42,0.0,23.92,292.82,2.71,23.7,0.0038036346370518,11.309803057379952,77.56396648640533,309.95019694262004
AUS,2025-01-19 03:08:14,2025-01-19 16:08:14,-36.8309002,174.7671163,78.8,77.67,320.24,94.13,33.59,60.7,24.47,-2.27,319.55,0.73,-11.45,-18.14,-13.9,0.0,-9.54,-5.01,0.11,18.19,23.12,-1.65,-0.84,995.55,997.4,1003.66,1.0,1.85,0.96,1.39,4.99,-0.11,-0.62,7.0,1.0,25011905.0,-12.92,0.0,23.19,298.61,2.71,23.4,0.0040333698099743,11.463775192443563,77.22798393681181,308.77622480755645
AUS,2025-01-19 03:08:15,2025-01-19 16:08:15,-36.8307508,174.7669607,80.06,78.82,318.98,95.45,33.37,60.23,24.32,-1.76,317.96,0.97,-15.76,-18.13,-13.68,0.0,-8.93,-3.97,1.57,19.63,23.37,-2.02,-1.12,1149.23,1091.67,1169.08,0.99,1.88,0.85,1.53,4.99,-0.1,-0.62,7.0,1.0,25011905.0,-14.52,0.0,22.79,299.24,2.71,22.5,0.0042710500174507,11.496350583550736,78.4537883433246,307.4836494164493
AUS,2025-01-19 03:08:16,2025-01-19 16:08:16,-36.8306035,174.7667947,82.16,81.03,317.81,98.45,33.45,59.91,24.91,0.45,317.0,2.1,-21.84,-18.12,-12.81,0.0,-7.07,-0.91,5.47,23.56,24.0,-2.45,-1.88,1217.27,1235.63,1193.31,-0.18,1.84,0.75,1.75,4.99,-0.08,-0.62,7.0,1.0,25011905.0,-15.52,0.0,22.57,290.43,2.71,22.2,0.0045246186187455,11.692891100597876,80.45501269386905,306.1171088994021
AUS,2025-01-19 03:08:17,2025-01-19 16:08:17,-36.8304555,174.7666214,83.55,83.16,317.24,100.36,33.08,59.74,24.57,-1.02,315.55,2.26,-24.42,-18.11,-12.18,0.0,-5.85,1.13,8.01,26.09,23.92,-2.22,-1.91,1171.06,1215.96,1136.22,-0.48,1.88,0.7,1.66,4.99,-0.06,-0.62,7.0,1.0,25011905.0,-16.52,0.0,21.16,282.12,2.71,21.1,0.0047893406762113,12.773524775061503,81.4822731260117,304.4664752249385
AUS,2025-01-19 03:08:18,2025-01-19 16:08:18,-36.830306,174.7664405,86.09,84.81,317.45,103.37,33.54,59.79,24.97,0.25,315.97,2.16,-31.59,-18.07,-11.05,0.0,-3.54,5.12,13.86,31.86,25.43,-1.71,-2.99,1087.36,1165.8,1113.55,-0.56,1.86,0.52,1.34,4.99,-0.04,-0.63,7.0,1.0,25011905.0,-17.52,0.0,19.82,266.77,2.71,19.5,0.0050656747866923,15.118747397113566,83.11019619798611,302.3312526028864
AUS,2025-01-19 03:08:19,2025-01-19 16:08:19,-36.8301539,174.7662565,86.76,86.33,316.23,104.36,34.62,59.89,24.93,-1.74,314.22,2.13,-37.27,-18.06,-10.18,0.0,-1.75,7.69,16.72,34.8,23.97,-2.08,-2.38,1208.14,1294.23,1331.43,-0.26,1.88,0.55,1.21,4.99,-0.05,-0.62,7.0,1.0,25011905.0,-18.52,0.0,18.86,251.6,2.71,18.8,0.0053467472169472,17.052395023141514,82.94576944857238,299.1776049768585
AUS,2025-01-19 03:08:20,2025-01-19 16:08:20,-36.8300021,174.7660653,88.93,87.72,315.12,103.6,35.43,59.81,24.75,-0.87,314.2,1.45,-24.96,-18.1,-11.13,0.0,-3.61,4.53,12.98,31.13,21.84,-2.79,-1.77,997.67,1079.16,938.95,0.08,1.86,0.38,2.1,4.99,-0.07,-0.62,7.0,1.0,25011905.0,-19.52,0.0,18.08,240.23,2.71,17.6,0.0056388212420301,20.695047334131743,83.1917545608814,294.42495266586826
AUS,2025-01-19 03:08:21,2025-01-19 16:08:21,-36.8298502,174.7658687,88.96,87.16,312.3,105.78,36.18,59.75,24.58,-4.61,311.36,0.35,-27.19,-18.08,-10.84,0.0,-2.94,5.93,14.81,32.8,22.55,-1.67,-1.75,931.26,984.38,1010.52,1.89,1.89,0.44,1.67,4.99,-0.1,-0.62,7.0,1.0,25011905.0,-19.92,0.0,17.24,231.47,2.71,17.2,0.0059391475234633,26.323565641164464,79.73521453776858,285.97643435883555
AUS,2025-01-19 03:08:22,2025-01-19 16:08:22,-36.8297096,174.7656602,89.72,88.98,304.08,107.26,36.91,59.67,24.04,-8.93,302.33,0.02,-32.05,-18.12,-11.35,0.0,-4.23,3.4,11.16,29.44,20.98,-3.41,-0.66,980.47,970.23,910.19,2.49,1.86,0.46,2.35,4.99,-0.15,-0.62,7.0,1.0,25011905.0,-21.52,0.0,18.01,211.08,2.71,18.4,0.0062576559122931,34.70382141617853,73.75935663336865,269.37617858382146
AUS,2025-01-19 03:08:23,2025-01-19 16:08:23,-36.8295935,174.7654259,90.36,88.78,295.07,112.49,36.92,59.6,24.06,-9.75,292.58,0.01,-32.68,-18.18,-13.89,0.0,-9.42,-4.64,-0.44,17.81,18.44,-2.72,0.63,718.09,609.53,541.63,3.2,1.86,0.33,2.82,5.0,-0.16,-0.62,7.0,1.0,25011905.0,-22.52,0.0,19.41,205.56,2.71,20.1,0.0066155813456703,68.8305167218873,32.631521295545056,226.23948327811266
AUS,2025-01-19 03:08:24,2025-01-19 16:08:24,-36.8295113,174.7651696,91.41,90.6,284.57,129.94,36.54,59.54,22.41,-10.33,282.0,0.05,-57.47,-18.14,-14.16,0.0,-9.85,-5.28,-0.35,17.71,20.59,-1.74,-1.7,890.06,910.21,846.96,3.18,1.89,0.41,2.05,4.99,-0.16,-0.62,7.0,1.0,25011905.0,-23.52,0.0,22.68,202.06,2.71,23.9,0.0070071202498525,126.2935465781523,-54.10762663462624,158.2764534218477
AUS,2025-01-19 03:08:25,2025-01-19 16:08:25,-36.8294665,174.7648943,92.79,91.34,276.02,136.69,36.61,59.33,20.66,-6.34,274.5,0.28,-71.42,-18.13,-12.5,0.0,-6.52,0.09,6.03,24.21,21.77,-3.42,-2.0,1007.22,1122.36,957.14,0.63,1.86,0.27,2.55,4.99,-0.15,-0.62,7.0,2.0,25011905.0,-24.52,0.0,28.7,201.38,2.71,31.2,0.0074276910098092,42.03526876753449,68.91817625901813,233.9847312324655
AUS,2025-01-19 03:08:26,2025-01-19 16:08:26,-36.8294333,174.7645032,89.95,88.07,276.75,140.56,36.71,58.96,20.9,-5.48,276.58,0.11,-76.63,-18.15,-15.82,0.0,-13.36,-11.22,-7.64,9.9,18.22,-0.81,0.05,831.53,749.34,723.13,2.1,1.9,0.34,2.11,4.99,-0.14,-0.62,7.0,2.0,25011905.0,-25.52,0.0,29.2,203.25,2.71,29.2,0.0080251786000644,44.15498807366424,64.5353546263536,232.59501192633576
AUS,2025-01-19 03:08:27,2025-01-19 16:08:27,-36.8294225,174.7643403,89.22,87.73,272.49,145.99,36.84,58.89,18.91,-4.75,271.48,-0.11,-76.72,-18.12,-14.11,0.0,-9.85,-5.47,-0.34,17.83,18.81,-1.13,-0.66,1159.27,1170.06,1237.25,1.48,1.87,0.46,1.61,4.99,-0.14,-0.62,7.0,2.0,25011905.0,-26.52,0.0,32.0,204.38,2.71,35.0,0.0082740465572328,40.47981394482406,67.86383038529596,232.01018605517595
AUS,2025-01-19 03:08:28,2025-01-19 16:08:28,-36.829415,174.7640679,89.54,87.64,271.44,147.33,36.91,58.88,18.98,-0.33,270.95,0.11,-79.77,-18.13,-15.44,0.0,-12.68,-9.56,-6.51,11.64,17.74,-2.77,-0.67,1272.52,1212.26,1219.53,1.0,1.87,0.43,2.21,4.99,-0.13,-0.62,7.0,2.0,25011905.0,-27.52,0.0,35.74,207.6,2.71,35.3,0.0086902065856406,40.38169525426048,68.20667673827772,231.05830474573952
AUS,2025-01-19 03:08:29,2025-01-19 16:08:29,-36.8294108,174.7637957,88.91,86.82,270.86,148.71,36.97,58.94,18.73,-0.91,270.28,0.13,-79.37,-18.12,-15.94,0.0,-13.66,-11.11,-8.42,9.67,18.37,-2.17,-0.73,1216.1,1173.53,1175.51,1.05,1.87,0.39,1.98,4.99,-0.14,-0.62,7.0,2.0,25011905.0,-28.52,0.0,35.2,210.99,2.71,14.8,0.009106067487778,40.77328583364334,67.33151017625062,230.08671416635667
AUS,2025-01-19 03:08:30,2025-01-19 16:08:30,-36.8294096,174.7635255,88.35,86.43,270.18,149.84,37.04,59.0,18.32,0.57,270.13,0.35,-80.49,-18.13,-15.69,0.0,-13.36,-10.65,-8.39,9.77,18.57,-2.61,-0.94,1196.65,1192.84,1151.13,0.43,1.87,0.49,2.1,4.99,-0.14,-0.62,7.0,2.0,25011905.0,-29.42,0.0,36.28,214.98,2.71,13.9,0.0095188791875671,41.080861378674456,66.59672227161926,229.09913862132555
AUS,2025-01-19 03:08:31,2025-01-19 16:08:31,-36.8294079,174.7632575,87.32,85.22,270.73,150.86,37.13,59.21,18.29,-0.74,270.18,-0.11,-79.42,-18.12,-16.25,0.0,-14.33,-12.22,-9.73,8.4,18.91,-2.38,-0.78,1148.02,1131.49,1073.73,1.07,1.88,0.52,2.13,4.99,-0.14,-0.62,7.0,2.0,25011905.0,-30.42,0.0,33.69,218.76,2.71,13.0,0.0099283359772925,42.65309511089737,64.2211985457076,228.07690488910265
AUS,2025-01-19 03:08:32,2025-01-19 16:08:32,-36.8294059,174.7629922,86.73,84.52,270.81,151.87,37.64,59.45,18.4,0.52,270.81,-0.14,-80.09,-18.12,-16.3,0.0,-14.41,-12.35,-10.08,8.0,18.57,-2.29,-0.83,1120.47,1119.14,1088.22,0.85,1.87,0.54,1.96,4.99,-0.13,-0.62,7.0,2.0,25011905.0,-31.42,0.0,34.03,222.29,2.71,12.2,0.0103336737747099,43.78771524100466,62.611134055233705,227.02228475899537
AUS,2025-01-19 03:08:33,2025-01-19 16:08:33,-36.8294033,174.7627293,85.86,83.78,271.43,152.29,38.18,59.75,19.23,1.72,271.37,0.64,-78.81,-18.12,-15.84,0.0,-13.53,-10.99,-8.58,9.61,18.53,-2.63,-0.65,1119.24,1077.71,1025.98,-0.23,1.86,0.57,2.19,4.99,-0.13,-0.62,7.0,2.0,25011905.0,-32.42,0.0,32.98,226.23,2.71,11.1,0.0107353507580114,45.4980868729707,60.18211421466468,225.93191312702933
AUS,2025-01-19 03:08:34,2025-01-19 16:08:34,-36.8293964,174.7624693,84.73,82.26,273.47,152.44,38.31,60.19,19.89,1.12,272.93,0.58,-76.15,-18.2,-16.73,0.0,-14.89,-12.94,-11.24,6.94,18.44,-2.01,-0.3,1049.58,1027.8,1012.21,0.4,1.87,0.65,1.91,4.99,-0.13,-0.62,7.0,2.0,25011905.0,-33.42,0.0,29.14,229.57,2.71,10.1,0.0111326028111875,48.68253052804425,55.941347004804776,224.78746947195575
AUS,2025-01-19 03:08:35,2025-01-19 16:08:35,-36.8293845,174.7622135,83.59,81.37,274.51,153.16,38.37,60.73,20.31,1.07,273.93,0.62,-76.2,-19.24,-18.6,0.0,-16.78,-14.8,-12.56,6.65,19.23,-1.83,-0.84,1200.24,1158.59,1172.86,0.32,1.88,0.69,1.53,4.99,-0.13,-0.62,7.0,2.0,25011905.0,-34.42,0.0,27.72,230.04,2.71,9.1,0.0115234434345552,50.918973545741494,52.69670619076229,223.5910264542585
AUS,2025-01-19 03:08:36,2025-01-19 16:08:36,-36.8293704,174.7619605,83.27,81.38,275.06,153.56,38.22,61.31,20.36,0.74,274.38,0.86,-76.26,-19.61,-17.99,0.0,-15.72,-13.2,-10.5,9.09,19.48,-2.11,-1.33,1241.24,1260.85,1238.04,0.42,1.87,0.72,1.52,4.99,-0.13,-0.62,7.0,2.0,25011905.0,-35.42,0.0,26.04,218.35,2.71,8.2,0.011910011475777,52.70791478691194,50.451503402834696,222.3520852130881
AUS,2025-01-19 03:08:37,2025-01-19 16:08:37,-36.8293541,174.7617085,82.8,80.67,275.14,153.98,38.3,61.91,19.74,-0.57,274.66,0.16,-75.38,-19.61,-16.43,0.0,-12.43,-8.02,-2.95,16.63,19.79,-2.38,-2.34,1156.73,1171.23,1137.0,1.06,1.87,0.73,1.84,4.99,-0.13,-0.62,7.0,2.0,25011905.0,-36.42,0.0,24.21,209.92,2.71,7.2,0.0122950570960824,54.07756643873654,48.57788853710895,221.06243356126348
AUS,2025-01-19 03:08:38,2025-01-19 16:08:38,-36.8293379,174.7614587,82.08,80.24,274.37,153.56,38.09,62.36,19.8,0.33,273.94,0.69,-74.1,-19.62,-16.92,0.0,-13.51,-9.67,-6.47,13.22,19.44,-2.73,-1.47,1062.24,1089.54,984.08,0.26,1.86,0.78,2.22,4.99,-0.13,-0.63,7.0,2.0,25011905.0,-37.52,0.0,24.41,200.51,2.71,6.0,0.0126767466402384,54.6299429992402,47.51242695862708,219.7400570007598
AUS,2025-01-19 03:08:39,2025-01-19 16:08:39,-36.8293221,174.7612108,81.33,79.2,275.0,153.85,37.23,62.86,19.69,-0.94,273.91,0.37,-72.21,-19.62,-17.9,0.0,-15.46,-12.73,-9.74,9.86,18.74,-1.81,-0.96,1052.3,977.28,971.1,1.03,1.88,0.82,1.92,4.99,-0.13,-0.62,7.0,2.0,25011905.0,-38.42,0.0,22.56,192.59,2.71,5.2,0.0130555383693717,56.61467522926512,44.75320629016007,218.38532477073488
AUS,2025-01-19 03:08:40,2025-01-19 16:08:40,-36.8293081,174.7609642,81.6,80.05,273.96,155.12,37.06,63.33,18.95,-0.03,273.47,0.64,-76.09,-19.61,-17.82,0.0,-15.33,-12.72,-10.02,9.59,19.0,-2.19,-1.72,1104.37,1134.87,1115.79,0.67,1.87,0.86,1.79,4.99,-0.12,-0.62,7.0,2.0,25011905.0,-39.42,0.0,23.5,183.75,2.71,4.2,0.013432348981496,56.957554635069755,44.493230867640136,217.0024453649302
AUS,2025-01-19 03:08:41,2025-01-19 16:08:41,-36.829296,174.7607159,81.75,79.57,273.0,155.66,37.8,63.77,18.38,-2.06,272.36,-0.21,-75.93,-19.61,-17.73,0.0,-15.33,-12.67,-9.85,9.75,20.83,-2.38,-2.95,1041.72,1164.73,1096.45,1.1,1.86,0.75,1.95,4.99,-0.14,-0.62,7.0,2.0,25011905.0,-40.52,0.0,21.99,176.09,2.71,2.9,0.0138117625604081,57.425100314691804,44.01433645155701,215.57489968530817
AUS,2025-01-19 03:08:42,2025-01-19 16:08:42,-36.8292867,174.7604685,81.12,78.9,273.31,155.09,38.38,64.09,19.72,1.85,273.56,0.3,-74.59,-19.61,-17.69,0.0,-15.35,-12.68,-9.79,9.83,20.16,-2.76,-1.3,988.95,1056.46,952.16,0.14,1.89,0.88,2.26,4.67,-0.13,1.46,7.0,2.0,25011905.0,-41.42,0.0,22.38,167.52,2.71,2.2,0.0141898062148015,59.189760896732366,41.549368563897374,214.12023910326764
AUS,2025-01-19 03:08:43,2025-01-19 16:08:43,-36.8292744,174.7602246,79.38,76.63,275.68,155.48,38.31,64.56,20.77,3.16,275.7,0.94,-72.17,-19.8,-17.78,0.0,-15.29,-12.56,-9.93,9.86,17.44,-2.15,0.01,979.5,951.0,920.75,-0.02,1.85,0.91,2.08,0.04,-0.12,2.71,7.0,2.0,25011905.0,-42.52,0.0,19.93,159.36,2.71,1.0,0.0145625068308277,63.054422994732874,35.97056779949513,212.62557700526713
AUS,2025-01-19 03:08:44,2025-01-19 16:08:44,-36.8292542,174.7599881,77.31,74.52,278.52,155.72,38.25,65.25,21.65,2.54,278.89,0.6,-70.86,-19.89,-17.71,0.0,-15.34,-12.65,-9.89,9.98,16.64,-2.45,0.44,1028.52,993.73,975.54,0.76,1.92,0.86,2.11,-0.14,-0.11,2.7,7.0,2.0,25011905.0,-43.52,0.0,17.2,150.93,2.71,0.0,0.0149239045222202,67.42471139395155,29.67908563643292,211.09528860604843
AUS,2025-01-19 03:08:45,2025-01-19 16:08:45,-36.8292252,174.7597578,76.68,74.89,279.7,154.38,38.19,65.94,21.88,-0.94,279.0,0.18,-69.02,-19.89,-17.81,0.0,-15.34,-12.67,-9.92,9.99,16.81,-3.71,0.73,977.61,782.2,685.78,2.69,1.88,-1.1,3.18,2.61,-0.14,2.36,7.0,2.0,25011905.0,-44.52,0.0,15.11,140.41,2.71,0.0,0.0152758326004232,70.17426825789596,26.00682246494091,209.52573174210406
AUS,2025-01-19 03:08:46,2025-01-19 16:08:46,-36.8292002,174.7595275,76.47,74.26,271.44,152.36,38.08,66.48,21.59,-11.19,269.08,-0.83,-65.89,-19.88,-17.79,0.0,-15.35,-12.68,-9.92,9.96,21.76,-3.09,0.81,921.94,755.37,653.91,4.44,1.86,-1.12,3.49,2.67,-0.13,2.38,7.0,2.0,25011905.0,-45.52,0.0,17.22,131.71,2.71,0.0,0.0156277652770882,63.499604923319,34.12121865798246,207.940395076681
AUS,2025-01-19 03:08:47,2025-01-19 16:08:47,-36.8292067,174.7593105,74.39,70.35,256.46,151.15,38.1,66.98,22.25,-16.86,252.77,-1.64,-63.91,-13.63,-10.42,0.0,-9.03,-7.52,-6.0,7.7,19.66,-2.16,1.8,968.78,864.56,848.03,5.68,1.88,-1.28,2.49,2.53,-0.13,2.43,7.0,2.0,25011905.0,-46.52,0.0,30.45,128.27,2.71,0.0,0.01595937778211,49.91915866210741,47.89732698188301,206.54084133789254
AUS,2025-01-19 03:08:48,2025-01-19 16:08:48,-36.8292334,174.7591704,70.99,70.35,256.46,158.13,38.1,66.98,18.41,-18.96,252.77,-1.64,-64.37,-0.22,3.31,0.0,3.08,2.09,1.99,2.34,11.69,-0.58,2.33,1109.81,1027.94,1085.47,5.68,1.88,-1.28,1.6,1.2,-0.13,2.43,7.0,2.0,25011905.0,-46.52,0.0,30.45,128.27,2.71,0.0,0.0161734763194658,50.75154332420982,44.9142704702042,205.7084566757902
AUS,2025-01-19 03:08:50,2025-01-19 16:08:50,-36.8295052,174.7587682,59.47,57.99,215.4,-170.78,37.94,67.41,-18.98,-2.59,215.33,-1.49,-57.73,20.2,13.03,0.0,4.68,-4.22,-12.91,-32.83,-15.07,-0.52,3.5,1215.56,1135.05,1296.98,1.23,1.87,2.47,0.55,0.49,-0.12,2.39,7.0,2.0,25011905.0,-49.52,0.0,47.88,139.0,2.71,21.6,0.016788121262266,11.42149699159171,58.29231237390519,203.9785030084083
AUS,2025-01-19 03:08:51,2025-01-19 16:08:51,-36.8295887,174.7586985,57.9,56.35,210.57,-166.77,37.84,65.82,-26.34,-7.85,207.92,-1.71,-56.31,20.15,11.8,0.0,2.54,-7.48,-18.02,-38.18,-14.55,-1.36,2.42,1273.63,1115.17,1337.35,2.23,1.88,2.54,1.45,0.72,-0.14,2.4,7.0,2.0,25011905.0,-50.52,0.0,49.35,149.14,2.71,20.8,0.0168946387312303,6.765713481827959,57.49679509663157,203.80428651817203
AUS,2025-01-19 03:08:52,2025-01-19 16:08:52,-36.829714,174.7586184,56.89,56.25,202.44,-159.97,37.66,64.29,-32.93,-6.27,199.96,-0.54,-53.65,20.21,12.32,0.0,3.64,-5.77,-15.54,-35.87,-15.64,-2.04,0.89,1053.87,1008.58,1054.71,-0.32,1.88,2.63,2.87,2.17,-0.14,2.39,7.0,2.0,25011905.0,-51.52,0.0,52.09,158.73,2.71,20.1,0.0170170502883024,358.72048670416,56.87581490558637,203.71951329584
AUS,2025-01-19 03:08:53,2025-01-19 16:08:53,-36.8298465,174.7585572,57.75,58.11,200.26,-156.17,37.54,62.78,-34.19,-1.21,198.76,-0.67,-52.44,20.32,16.52,0.0,12.48,6.59,3.39,-17.14,-16.22,-2.72,0.28,906.68,942.45,879.13,-1.47,1.87,2.53,4.27,3.0,-0.12,2.37,7.0,2.0,25011905.0,-52.52,0.0,50.15,172.03,2.71,19.3,0.0171105785943836,356.44945036299987,57.6391517294383,203.8105496370001
AUS,2025-01-19 03:08:54,2025-01-19 16:08:54,-36.8299846,174.7584976,60.49,61.24,200.55,-151.75,37.76,61.67,-34.91,1.19,200.54,-1.24,-53.22,20.42,20.07,0.0,19.92,18.46,18.92,-1.54,-17.49,-2.44,0.59,856.19,882.92,834.44,-1.59,1.88,2.33,5.02,2.72,-0.13,2.37,7.0,2.0,25011905.0,-53.52,0.0,46.6,184.46,2.71,18.5,0.0172016620281851,356.605377626777,60.383863632789144,203.94462237322304
